Ticket,Ticket_counter
1601,7
C.A. 2673,2
349215,1
349206,1
PC 17482,1
2650,1
330923,1
17421,3
SOTON/OQ 392082,1
315096,1
364851,1
349213,1
315094,1
248727,3
STON/O 2. 3101292,1
17466,1
364512,1
370370,1
3101265,1
PC 17597,1
349247,1
113807,1
111369,1
2668,2
347468,1
382652,4
364849,2
372622,1
349909,3
349219,1
SOTON/OQ 392090,1
111361,2
17764,1
370369,1
113806,2
315089,1
A/5 21173,1
350043,1
PC 17759,1
113787,1
S.O.C. 14879,4
2666,4
LINE,4
36864,1
3101295,6
231919,2
2680,1
35851,1
7553,1
SCO/W 1585,1
250647,2
367228,1
2699,2
330959,1
220845,2
P/PP 3381,2
2653,2
2691,2
347077,4
226875,1
C.A. 31921,3
330980,1
54636,2
349245,1
STON/O 2. 3101273,1
PP 9549,2
STON/O2. 3101283,1
28425,1
349227,1
PC 17592,1
2629,1
330931,1
113794,1
250646,1
28424,1
C.A. 31026,1
PC 17590,1
26360,2
250649,1
230433,2
349237,2
W./C. 6607,2
2678,2
312992,1
CA 2144,5
382651,1
PC 17582,2
SC/PARIS 2146,1
2661,2
A.5. 11206,1
PC 17609,1
3101277,1
392096,2
243880,1
S.O./P.P. 3,2
STON/O 2. 3101288,1
28551,1
371060,1
220367,1
347082,7
PC 17757,4
370371,1
11765,1
PC 17569,2
358585,2
113509,1
PC 17474,1
2648,1
4579,1
350052,1
110465,2
113803,2
PC 17608,2
113760,4
113788,1
S.C./PARIS 2079,2
371110,3
367226,2
7540,1
113572,2
A/5. 851,1
237798,1
2694,1
330935,1
17465,1
PP 4348,1
36928,2
2659,2
C.A. 34651,3
347080,2
113786,1
371362,1
349221,1
244252,2
13568,1
239853,3
3101278,2
4134,1
349246,1
315153,1
6563,1
PC 17600,1
A/5. 2151,1
11668,1
A/5 3594,1
349254,1
C.A./SOTON 34068,1
7534,2
349249,1
113796,1
A/4. 20589,1
113514,1
113028,1
350407,1
230080,3
349205,1
2628,1
65304,1
364499,1
11813,1
33638,1
C.A. 37671,2
2665,2
24160,2
349207,1
3101298,1
315151,1
349203,1
C.A. 33595,1
112058,1
C.A. 34260,1
PC 17558,1
A/5 2817,1
11767,1
349253,1
350035,1
W./C. 6609,1
370129,1
248733,1
3101276,1
347470,1
695,1
347089,1
19943,2
350047,1
364498,1
11751,2
347083,1
2908,2
29750,2
113804,1
113773,1
350050,1
223596,1
349231,1
W./C. 6608,4
14312,1
248723,1
315084,1
13567,1
2686,1
244367,2
PC 17476,1
347073,1
250652,1
111320,1
STON/O 2. 3101285,1
34218,1
17453,2
36967,1
13214,1
PC 17761,2
S.O.P. 1166,1
248738,2
237736,2
STON/O2. 3101279,2
348123,1
A/5. 3336,2
349216,1
F.C.C. 13528,1
237668,1
350036,1
PC 17485,2
315082,1
4135,1
113510,1
19950,4
SC/AH 3085,1
A/4 48871,2
364846,1
C 17369,1
349228,1
363291,3
315090,1
237789,1
113776,2
348121,1
19877,2
384461,1
347068,1
347067,1
2683,1
17474,1
S.O./P.P. 751,1
11752,1
350417,1
28134,1
65306,1
363592,1
244270,1
250648,1
110813,1
36963,1
16988,1
12749,2
347464,1
693,1
26707,1
248706,1
SOTON/O.Q. 392087,1
349244,1
349218,1
5727,1
239854,1
324669,1
17464,1
330979,1
27849,1
PC 17603,1
345572,1
250655,2
A/5 3902,1
STON/O 2. 3101294,1
SC/Paris 2123,3
Fa 265302,1
PC 17758,2
347074,1
367230,2
19972,1
347069,1
349225,1
11771,1
F.C. 12750,1
12460,1
113784,1
349217,1
234360,1
248740,1
13502,3
29104,1
350026,1
SOTON/O2 3101287,1
36973,2
16966,2
349239,1
113792,1
392092,1
11967,2
SOTON/OQ 392076,1
29103,1
PC 17754,1
330877,1
113798,2
9234,1
C 7076,1
248747,1
347078,1
PC 17595,1
36866,1
113505,2
345777,1
250651,1
113056,1
A/4 45380,1
335677,1
28220,1
211536,1
110413,3
347063,1
349236,1
367231,1
SO/C 14885,1
A./5. 2152,1
17463,1
A/4. 34244,1
PC 17593,2
367655,1
110152,3
347088,6
2647,1
2687,1
A/4. 39886,1
STON/O 2. 3101289,1
2690,1
345778,1
345769,1
11774,1
C 4001,1
113055,1
315086,1
343276,1
31027,2
349240,1
2003,1
35273,3
111428,1
2626,1
363294,1
2625,1
113781,4
347466,1
349204,1
SOTON/OQ 3101317,1
PC 17599,1
383121,1
347054,1
W.E.P. 5734,1
2223,1
14311,1
370376,1
112059,1
345783,1
PC 17483,1
7598,1
239865,2
12233,1
342826,1
STON/O2. 3101290,1
345764,2
347061,1
234604,1
349242,1
C.A. 29395,1
345763,1
PC 17475,1
368323,1
F.C.C. 13529,2
29105,1
239856,1
244358,1
19947,1
8475,1
STON/O2. 3101271,1
237442,1
W./C. 14263,1
113789,2
WE/P 5735,2
36568,1
112053,1
A4. 54510,1
349222,1
2695,1
C.A. 24579,1
PC 17572,3
C 7075,1
248698,1
394140,1
A/5. 13032,1
13049,1
236853,1
28206,1
349251,1
113043,1
347071,1
370372,1
28403,2
S.C./A.4. 23567,1
PC 17605,1
3101267,1
PC 17604,2
349912,1
323592,1
112277,1
239855,1
345767,1
345765,1
13507,1
112379,1
364850,1
345364,1
SOTON/O.Q. 3101311,1
315037,1
113503,1
364516,2
13509,1
SC/PARIS 2167,1
365226,1
35852,1
230434,1
3101264,1
349910,1
C.A. 24580,1
C.A. 5547,1
PC 17760,1
234686,1
2669,1
PC 17477,2
36209,1
A/S 2816,1
2624,1
14313,1
CA. 2343,5
A./5. 3235,1
347742,3
11769,1
C.A. 29566,1
229236,1
7545,1
237565,1
334912,1
A/5. 3337,1
2631,1
SOTON/O.Q. 3101305,1
SC/Paris 2163,1
2651,1
A/5 3540,1
29106,3
348124,1
345773,3
244361,1
2623,1
233866,1
234818,1
237671,1
2685,1
8471,1
SOTON/O.Q. 3101312,1
244278,1
C.A. 6212,1
2693,1
349233,1
A/5 2466,1
27267,1
STON/O 2. 3101293,1
376566,1
236852,1
C.A. 33111,1
3101296,1
SOTON/O.Q. 3101306,1
PC 17755,3
4136,1
347085,1
315097,1
113059,1
230136,2
231945,1
19988,1
349256,1
SOTON/OQ 392086,1
349243,1
370377,1
113783,1
345781,1
370365,2
2667,1
PC 17610,1
364848,1
330919,1
341826,1
330932,1
A/5 3536,1
349212,1
2671,1
350048,1
362316,1
C.A. 33112,1
347087,1
349241,1
349209,1
13213,1
347076,1
3460,1
113050,1
PC 17318,1
370373,1
350406,1
3474,1
374746,1
65303,1
31418,1
SC 1748,1
349223,1
113800,1
2697,1
19928,1
11755,1
111426,1
315088,1
29751,1
STON/O 2. 3101269,1
19996,1
SC/AH Basle 541,1
349234,1
SOTON/OQ 392089,1
S.P. 3464,1
11753,1
2700,1
SOTON/O.Q. 392078,1
343275,1
4133,3
C.A. 18723,1
STON/O 2. 3101275,1
349257,1
345774,1
233639,1
31028,1
PC 17612,1
349224,1
4138,1
36947,1
349252,1
113051,1
250644,1
368703,1
SW/PP 751,1
347060,1
2663,1
PC 17585,1
347064,1
35281,1
349208,1
347743,1
335097,1
219533,1
374910,1
111240,1
364500,1
367229,1
2674,1
2677,1
2627,1
330909,1
347062,1
A/5 21174,1
SOTON/O.Q. 3101307,1
19952,1
113767,1
A/5 21171,1
2672,1
386525,1
A.5. 18509,1
3101281,1
7552,1
244373,1
PC 17601,1
367232,1
3411,1
PC 17596,1
350046,1
370375,1
112050,1
226593,1
28665,1
A/5. 10482,1
SC/PARIS 2131,1
350060,1
STON/O2. 3101282,1
248731,1
113501,1
29011,1
376564,1
SC/PARIS 2133,1
364511,1
373450,1
250643,1
29108,1
347081,1
343095,1
312993,1
C.A. 2315,1
CA. 2314,1
111427,1
S.W./PP 752,1
236171,1
336439,1
345780,1
W./C. 14258,1
349201,1
2689,1
2926,1
SC/PARIS 2149,1
7267,1
392091,1
PC 17756,1
