Ticket,Ticket_counter
330911,1
363272,1
240276,1
315154,1
3101298,1
7538,1
330972,1
248738,1
2657,1
A/4 48871,1
349220,1
694,1
21228,2
24065,2
W.E.P. 5734,1
SC/PARIS 2167,1
233734,1
2692,1
STON/O2. 3101270,1
2696,1
PC 17603,1
C 17368,1
PC 17598,1
PC 17597,1
PC 17608,5
A/5. 3337,1
113509,1
2698,1
113054,1
2662,2
SC/AH 3085,1
C.A. 31029,3
C.A. 2315,2
W./C. 6607,2
13236,2
2682,1
342712,1
315087,1
345768,1
1601,1
349256,1
113778,1
SOTON/O.Q. 3101263,1
237249,1
11753,1
STON/O 2. 3101291,1
PC 17594,1
370374,1
11813,1
C.A. 37671,1
13695,2
SC/PARIS 2168,1
29105,1
19950,2
SC/A.3 2861,1
382652,1
349230,1
348122,1
386525,1
349232,1
237216,1
347090,1
334914,1
F.C.C. 13534,2
330963,1
113796,1
2543,1
382653,1
349211,1
3101297,1
PC 17562,1
113503,4
359306,1
11770,1
248744,1
368702,1
2678,1
PC 17483,3
19924,1
349238,1
240261,1
2660,2
330844,1
A/4 31416,1
364856,1
29103,2
347072,2
345498,1
F.C. 12750,1
376563,1
13905,1
350033,1
19877,1
STON/O 2. 3101268,1
347471,1
A./5. 3338,1
11778,2
228414,1
365235,1
347070,1
2625,1
C 4001,2
330920,1
383162,1
3410,1
248734,1
237734,1
330968,1
PC 17531,1
329944,1
2680,1
2681,1
PP 9549,1
13050,2
SC/AH 29037,1
C.A. 33595,1
367227,1
392095,1
368783,1
371362,1
350045,1
367226,1
211535,1
342441,1
STON/OQ. 369943,1
113780,1
4133,1
2621,1
349226,1
350409,1
2656,1
248659,1
SOTON/OQ 392083,1
CA 2144,2
113781,2
244358,1
17475,1
345763,1
17463,1
SC/A4 23568,1
113791,1
250651,1
11767,1
349255,1
3701,1
350405,2
347077,3
S.O./P.P. 752,1
347469,1
110489,1
SOTON/O.Q. 3101315,3
335432,1
2650,2
220844,1
343271,1
237393,1
315153,2
PC 17591,1
W./C. 6608,1
17770,1
7548,1
S.O./P.P. 251,1
2670,1
2673,1
29750,1
C.A. 33112,2
230136,2
PC 17756,2
233478,1
113773,1
7935,1
PC 17558,1
239059,1
S.O./P.P. 2,2
A/4 48873,1
CA. 2343,4
28221,1
226875,1
111163,1
A/5. 851,2
235509,1
28220,2
347465,1
16966,3
347066,1
C.A. 31030,1
65305,1
36568,1
347080,1
PC 17757,1
26360,1
C.A. 34050,1
F.C. 12998,1
9232,1
28034,1
PC 17613,1
349250,1
SOTON/O.Q. 3101308,1
S.O.C. 14879,2
347091,1
113038,1
330924,1
36928,2
32302,1
SC/PARIS 2148,1
342684,1
W./C. 14266,1
350053,1
PC 17606,1
2661,1
350054,1
370368,1
C.A. 6212,1
242963,1
220845,3
113795,1
3101266,1
330971,1
PC 17599,1
350416,1
110813,1
2679,1
250650,1
PC 17761,1
112377,1
237789,1
3470,1
17464,1
26707,1
C.A. 34651,1
SOTON/O2 3101284,1
13508,2
7266,1
345775,1
C.A. 42795,1
AQ/4 3130,1
363611,1
28404,1
345501,1
345572,1
350410,1
C.A. 34644,1
349235,1
112051,1
C.A. 49867,1
A. 2. 39186,1
315095,1
368573,1
370371,1
2676,1
236853,1
SC 14888,1
2926,1
CA 31352,2
W./C. 14260,1
315085,1
364859,1
370129,1
A/5 21175,1
SOTON/O.Q. 3101314,1
2655,1
A/5 1478,1
PC 17607,1
382650,1
2652,1
33638,2
345771,1
349202,1
SC/Paris 2123,1
113801,1
347467,1
347079,1
237735,1
315092,1
383123,1
112901,1
392091,1
12749,2
350026,1
315091,1
2658,1
LP 1588,1
368364,1
PC 17760,1
AQ/3. 30631,1
PC 17569,1
28004,1
350408,1
347075,1
2654,1
244368,1
113790,1
24160,1
SOTON/O.Q. 3101309,1
PC 17585,1
2003,1
236854,1
PC 17580,1
2684,1
2653,1
349229,1
110469,1
244360,1
2675,1
2622,1
C.A. 15185,1
350403,1
PC 17755,1
348125,1
237670,1
2688,1
248726,1
F.C.C. 13528,1
PC 17759,1
F.C.C. 13540,1
113044,1
11769,1
1222,1
368402,1
349910,1
S.C./PARIS 2079,1
315083,1
11765,1
2689,1
3101295,1
112378,2
SC/PARIS 2147,1
28133,1
112058,1
248746,1
315152,1
29107,1
680,1
366713,1
330910,1
364498,1
376566,1
SC/PARIS 2159,1
349911,1
244346,1
364858,1
349909,1
PC 17592,1
C.A. 2673,1
C.A. 30769,1
371109,1
13567,1
347065,1
21332,1
28664,1
113059,1
17765,1
SC/PARIS 2166,1
28666,1
334915,1
365237,1
19928,1
347086,1
A.5. 3236,1
PC 17758,1
SOTON/O.Q. 3101262,1
359309,1
2668,1
